Column,Normalization Factor
landmark_0_x_frame_1,1.0
landmark_0_y_frame_1,1.0
landmark_0_z_frame_1,1.0
landmark_0_x_frame_2,1.0
landmark_0_y_frame_2,1.0
landmark_0_z_frame_2,1.0
landmark_0_x_frame_3,1.0
landmark_0_y_frame_3,1.0
landmark_0_z_frame_3,1.0
landmark_0_x_frame_4,1.0
landmark_0_y_frame_4,1.0
landmark_0_z_frame_4,1.0
landmark_0_x_frame_5,1.0
landmark_0_y_frame_5,1.0
landmark_0_z_frame_5,1.0
landmark_11_x_frame_1,1.0
landmark_11_y_frame_1,1.0
landmark_11_z_frame_1,1.0
landmark_11_x_frame_2,1.0
landmark_11_y_frame_2,1.0
landmark_11_z_frame_2,1.0
landmark_11_x_frame_3,1.0
landmark_11_y_frame_3,1.0
landmark_11_z_frame_3,1.0
landmark_11_x_frame_4,1.0
landmark_11_y_frame_4,1.0
landmark_11_z_frame_4,1.0
landmark_11_x_frame_5,1.0
landmark_11_y_frame_5,1.0
landmark_11_z_frame_5,1.0
landmark_12_x_frame_1,1.0
landmark_12_y_frame_1,1.0
landmark_12_z_frame_1,1.0
landmark_12_x_frame_2,1.0
landmark_12_y_frame_2,1.0
landmark_12_z_frame_2,1.0
landmark_12_x_frame_3,1.0
landmark_12_y_frame_3,1.0
landmark_12_z_frame_3,1.0
landmark_12_x_frame_4,1.0
landmark_12_y_frame_4,1.0
landmark_12_z_frame_4,1.0
landmark_12_x_frame_5,1.0
landmark_12_y_frame_5,1.0
landmark_12_z_frame_5,1.0
landmark_13_x_frame_1,1.0
landmark_13_y_frame_1,1.0
landmark_13_z_frame_1,1.0
landmark_13_x_frame_2,1.0
landmark_13_y_frame_2,1.0
landmark_13_z_frame_2,1.0
landmark_13_x_frame_3,1.0
landmark_13_y_frame_3,1.0
landmark_13_z_frame_3,1.0
landmark_13_x_frame_4,1.0
landmark_13_y_frame_4,1.0
landmark_13_z_frame_4,1.0
landmark_13_x_frame_5,1.0
landmark_13_y_frame_5,1.0
landmark_13_z_frame_5,1.0
landmark_14_x_frame_1,1.0
landmark_14_y_frame_1,1.0
landmark_14_z_frame_1,1.0
landmark_14_x_frame_2,1.0
landmark_14_y_frame_2,1.0
landmark_14_z_frame_2,1.0
landmark_14_x_frame_3,1.0
landmark_14_y_frame_3,1.0
landmark_14_z_frame_3,1.0
landmark_14_x_frame_4,1.0
landmark_14_y_frame_4,1.0
landmark_14_z_frame_4,1.0
landmark_14_x_frame_5,1.0
landmark_14_y_frame_5,1.0
landmark_14_z_frame_5,1.0
landmark_15_x_frame_1,1.0
landmark_15_y_frame_1,1.0
landmark_15_z_frame_1,1.0
landmark_15_x_frame_2,1.0
landmark_15_y_frame_2,1.0
landmark_15_z_frame_2,1.0
landmark_15_x_frame_3,1.0
landmark_15_y_frame_3,1.0
landmark_15_z_frame_3,1.0
landmark_15_x_frame_4,1.0
landmark_15_y_frame_4,1.0
landmark_15_z_frame_4,1.0
landmark_15_x_frame_5,1.0
landmark_15_y_frame_5,1.0
landmark_15_z_frame_5,1.0
landmark_16_x_frame_1,1.0
landmark_16_y_frame_1,1.0
landmark_16_z_frame_1,1.0
landmark_16_x_frame_2,1.0
landmark_16_y_frame_2,1.0
landmark_16_z_frame_2,1.0
landmark_16_x_frame_3,1.0
landmark_16_y_frame_3,1.0
landmark_16_z_frame_3,1.0
landmark_16_x_frame_4,1.0
landmark_16_y_frame_4,1.0
landmark_16_z_frame_4,1.0
landmark_16_x_frame_5,1.0
landmark_16_y_frame_5,1.0
landmark_16_z_frame_5,1.0
landmark_17_x_frame_1,1.0
landmark_17_y_frame_1,1.0
landmark_17_z_frame_1,1.0
landmark_17_x_frame_2,1.0
landmark_17_y_frame_2,1.0
landmark_17_z_frame_2,1.0
landmark_17_x_frame_3,1.0
landmark_17_y_frame_3,1.0
landmark_17_z_frame_3,1.0
landmark_17_x_frame_4,1.0
landmark_17_y_frame_4,1.0
landmark_17_z_frame_4,1.0
landmark_17_x_frame_5,1.0
landmark_17_y_frame_5,1.0
landmark_17_z_frame_5,1.0
landmark_18_x_frame_1,1.0
landmark_18_y_frame_1,1.0
landmark_18_z_frame_1,1.0
landmark_18_x_frame_2,1.0
landmark_18_y_frame_2,1.0
landmark_18_z_frame_2,1.0
landmark_18_x_frame_3,1.0
landmark_18_y_frame_3,1.0
landmark_18_z_frame_3,1.0
landmark_18_x_frame_4,1.0
landmark_18_y_frame_4,1.0
landmark_18_z_frame_4,1.0
landmark_18_x_frame_5,1.0
landmark_18_y_frame_5,1.0
landmark_18_z_frame_5,1.0
landmark_19_x_frame_1,1.0
landmark_19_y_frame_1,1.0
landmark_19_z_frame_1,1.0
landmark_19_x_frame_2,1.0
landmark_19_y_frame_2,1.0
landmark_19_z_frame_2,1.0
landmark_19_x_frame_3,1.0
landmark_19_y_frame_3,1.0
landmark_19_z_frame_3,1.0
landmark_19_x_frame_4,1.0
landmark_19_y_frame_4,1.0
landmark_19_z_frame_4,1.0
landmark_19_x_frame_5,1.0
landmark_19_y_frame_5,1.0
landmark_19_z_frame_5,1.0
landmark_20_x_frame_1,1.0
landmark_20_y_frame_1,1.0
landmark_20_z_frame_1,1.0
landmark_20_x_frame_2,1.0
landmark_20_y_frame_2,1.0
landmark_20_z_frame_2,1.0
landmark_20_x_frame_3,1.0
landmark_20_y_frame_3,1.0
landmark_20_z_frame_3,1.0
landmark_20_x_frame_4,1.0
landmark_20_y_frame_4,1.0
landmark_20_z_frame_4,1.0
landmark_20_x_frame_5,1.0
landmark_20_y_frame_5,1.0
landmark_20_z_frame_5,1.0
landmark_21_x_frame_1,1.0
landmark_21_y_frame_1,1.0
landmark_21_z_frame_1,1.0
landmark_21_x_frame_2,1.0
landmark_21_y_frame_2,1.0
landmark_21_z_frame_2,1.0
landmark_21_x_frame_3,1.0
landmark_21_y_frame_3,1.0
landmark_21_z_frame_3,1.0
landmark_21_x_frame_4,1.0
landmark_21_y_frame_4,1.0
landmark_21_z_frame_4,1.0
landmark_21_x_frame_5,1.0
landmark_21_y_frame_5,1.0
landmark_21_z_frame_5,1.0
landmark_22_x_frame_1,1.0
landmark_22_y_frame_1,1.0
landmark_22_z_frame_1,1.0
landmark_22_x_frame_2,1.0
landmark_22_y_frame_2,1.0
landmark_22_z_frame_2,1.0
landmark_22_x_frame_3,1.0
landmark_22_y_frame_3,1.0
landmark_22_z_frame_3,1.0
landmark_22_x_frame_4,1.0
landmark_22_y_frame_4,1.0
landmark_22_z_frame_4,1.0
landmark_22_x_frame_5,1.0
landmark_22_y_frame_5,1.0
landmark_22_z_frame_5,1.0
landmark_23_x_frame_1,1.0
landmark_23_y_frame_1,1.0
landmark_23_z_frame_1,1.0
landmark_23_x_frame_2,1.0
landmark_23_y_frame_2,1.0
landmark_23_z_frame_2,1.0
landmark_23_x_frame_3,1.0
landmark_23_y_frame_3,1.0
landmark_23_z_frame_3,1.0
landmark_23_x_frame_4,1.0
landmark_23_y_frame_4,1.0
landmark_23_z_frame_4,1.0
landmark_23_x_frame_5,1.0
landmark_23_y_frame_5,1.0
landmark_23_z_frame_5,1.0
landmark_24_x_frame_1,1.0
landmark_24_y_frame_1,1.0
landmark_24_z_frame_1,1.0
landmark_24_x_frame_2,1.0
landmark_24_y_frame_2,1.0
landmark_24_z_frame_2,1.0
landmark_24_x_frame_3,1.0
landmark_24_y_frame_3,1.0
landmark_24_z_frame_3,1.0
landmark_24_x_frame_4,1.0
landmark_24_y_frame_4,1.0
landmark_24_z_frame_4,1.0
landmark_24_x_frame_5,1.0
landmark_24_y_frame_5,1.0
landmark_24_z_frame_5,1.0
landmark_25_x_frame_1,1.0
landmark_25_y_frame_1,1.0
landmark_25_z_frame_1,1.0
landmark_25_x_frame_2,1.0
landmark_25_y_frame_2,1.0
landmark_25_z_frame_2,1.0
landmark_25_x_frame_3,1.0
landmark_25_y_frame_3,1.0
landmark_25_z_frame_3,1.0
landmark_25_x_frame_4,1.0
landmark_25_y_frame_4,1.0
landmark_25_z_frame_4,1.0
landmark_25_x_frame_5,1.0
landmark_25_y_frame_5,1.0
landmark_25_z_frame_5,1.0
landmark_26_x_frame_1,1.0
landmark_26_y_frame_1,1.0
landmark_26_z_frame_1,1.0
landmark_26_x_frame_2,1.0
landmark_26_y_frame_2,1.0
landmark_26_z_frame_2,1.0
landmark_26_x_frame_3,1.0
landmark_26_y_frame_3,1.0
landmark_26_z_frame_3,1.0
landmark_26_x_frame_4,1.0
landmark_26_y_frame_4,1.0
landmark_26_z_frame_4,1.0
landmark_26_x_frame_5,1.0
landmark_26_y_frame_5,1.0
landmark_26_z_frame_5,1.0
landmark_27_x_frame_1,1.0
landmark_27_y_frame_1,1.1337244510650637
landmark_27_z_frame_1,1.0554556846618652
landmark_27_x_frame_2,1.0
landmark_27_y_frame_2,1.1337244510650637
landmark_27_z_frame_2,1.0554556846618652
landmark_27_x_frame_3,1.0
landmark_27_y_frame_3,1.1337244510650637
landmark_27_z_frame_3,1.0554556846618652
landmark_27_x_frame_4,1.0
landmark_27_y_frame_4,1.1337244510650637
landmark_27_z_frame_4,1.0554556846618652
landmark_27_x_frame_5,1.0
landmark_27_y_frame_5,1.1337244510650637
landmark_27_z_frame_5,1.0554556846618652
landmark_28_x_frame_1,1.0
landmark_28_y_frame_1,1.1457723379135132
landmark_28_z_frame_1,1.1012157201766968
landmark_28_x_frame_2,1.0
landmark_28_y_frame_2,1.1457723379135132
landmark_28_z_frame_2,1.1012157201766968
landmark_28_x_frame_3,1.0
landmark_28_y_frame_3,1.1457723379135132
landmark_28_z_frame_3,1.1012157201766968
landmark_28_x_frame_4,1.0
landmark_28_y_frame_4,1.1457723379135132
landmark_28_z_frame_4,1.1012157201766968
landmark_28_x_frame_5,1.0
landmark_28_y_frame_5,1.1457723379135132
landmark_28_z_frame_5,1.1012157201766968
landmark_29_x_frame_1,1.0
landmark_29_y_frame_1,1.1553962230682373
landmark_29_z_frame_1,1.0998075008392334
landmark_29_x_frame_2,1.0
landmark_29_y_frame_2,1.1553962230682373
landmark_29_z_frame_2,1.0998075008392334
landmark_29_x_frame_3,1.0
landmark_29_y_frame_3,1.1553962230682373
landmark_29_z_frame_3,1.0998075008392334
landmark_29_x_frame_4,1.0
landmark_29_y_frame_4,1.1553962230682373
landmark_29_z_frame_4,1.0998075008392334
landmark_29_x_frame_5,1.0
landmark_29_y_frame_5,1.1553962230682373
landmark_29_z_frame_5,1.0998075008392334
landmark_30_x_frame_1,1.0
landmark_30_y_frame_1,1.1658227443695068
landmark_30_z_frame_1,1.1417574882507324
landmark_30_x_frame_2,1.0
landmark_30_y_frame_2,1.1658227443695068
landmark_30_z_frame_2,1.1417574882507324
landmark_30_x_frame_3,1.0
landmark_30_y_frame_3,1.1658227443695068
landmark_30_z_frame_3,1.1417574882507324
landmark_30_x_frame_4,1.0
landmark_30_y_frame_4,1.1658227443695068
landmark_30_z_frame_4,1.1417574882507324
landmark_30_x_frame_5,1.0
landmark_30_y_frame_5,1.1658227443695068
landmark_30_z_frame_5,1.1417574882507324
landmark_31_x_frame_1,1.0
landmark_31_y_frame_1,1.2050060033798218
landmark_31_z_frame_1,1.0587631464004517
landmark_31_x_frame_2,1.0
landmark_31_y_frame_2,1.2050060033798218
landmark_31_z_frame_2,1.0587631464004517
landmark_31_x_frame_3,1.0
landmark_31_y_frame_3,1.2050060033798218
landmark_31_z_frame_3,1.0587631464004517
landmark_31_x_frame_4,1.0
landmark_31_y_frame_4,1.2050060033798218
landmark_31_z_frame_4,1.0587631464004517
landmark_31_x_frame_5,1.0
landmark_31_y_frame_5,1.2050060033798218
landmark_31_z_frame_5,1.0587631464004517
landmark_32_x_frame_1,1.0
landmark_32_y_frame_1,1.2217565774917605
landmark_32_z_frame_1,1.0980833768844604
landmark_32_x_frame_2,1.0
landmark_32_y_frame_2,1.2217565774917605
landmark_32_z_frame_2,1.0980833768844604
landmark_32_x_frame_3,1.0
landmark_32_y_frame_3,1.2217565774917605
landmark_32_z_frame_3,1.0980833768844604
landmark_32_x_frame_4,1.0
landmark_32_y_frame_4,1.2217565774917605
landmark_32_z_frame_4,1.0980833768844604
landmark_32_x_frame_5,1.0
landmark_32_y_frame_5,1.2217565774917605
landmark_32_z_frame_5,1.0980833768844604
